Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,62.130001,62.470001,61.970001,62.270000,47.603737,17400
2011-01-04,62.330002,62.349998,61.889999,62.130001,47.496704,39300
2011-01-05,60.790001,60.799999,60.290001,60.650002,46.365292,44600
2011-01-06,60.700001,61.509998,60.689999,61.250000,46.823963,42900
2011-01-07,61.759998,62.400002,61.549999,62.320000,47.641960,144900
2011-01-10,60.869999,61.049999,60.410000,60.980000,46.617561,96700
2011-01-11,60.730000,60.849998,60.490002,60.830002,46.502895,94100
2011-01-12,60.570000,61.029999,60.389999,61.029999,46.655792,41200
2011-01-13,60.910000,61.540001,60.910000,61.119999,46.724579,33000
2011-01-14,60.919998,61.779999,60.849998,61.709999,47.175632,55800
2011-01-18,63.930000,64.169998,63.750000,63.910000,48.857471,69000
2011-01-19,64.300003,64.440002,62.810001,62.950001,48.123577,266000
2011-01-20,63.070000,63.080002,62.180000,62.779999,47.993610,215300
2011-01-21,63.320000,63.709999,63.259998,63.520000,48.559322,44900
2011-01-24,63.029999,63.790001,62.959999,63.790001,48.765732,67300
2011-01-25,61.700001,61.959999,61.099998,61.959999,47.366745,79000
2011-01-26,63.009998,63.150002,62.520000,62.910000,48.093006,50300
2011-01-27,62.950001,63.189999,62.430000,62.779999,47.993610,38200
2011-01-28,62.150002,62.340000,61.290001,61.680000,47.175243,80900
2011-01-31,61.349998,62.119999,61.230000,61.980000,47.404686,31300
2011-02-01,62.720001,62.970001,62.470001,62.840000,48.062443,119600
2011-02-02,62.930000,63.130001,62.669998,62.930000,48.131287,33500
2011-02-03,63.150002,63.209999,62.509998,63.209999,48.345440,62000
2011-02-04,63.389999,64.489998,63.320000,64.339996,49.209705,263700
2011-02-07,64.830002,65.639999,64.779999,65.529999,50.119865,75800
2011-02-08,65.339996,65.940002,64.900002,65.940002,50.433456,120500
2011-02-09,65.269997,65.800003,65.199997,65.570000,50.150463,52300
2011-02-10,65.959999,66.769997,65.779999,66.519997,50.877048,94000
2011-02-11,66.529999,67.110001,66.500000,66.769997,51.068256,70600
2011-02-14,66.559998,67.059998,66.419998,67.029999,51.267120,70400
2011-02-15,67.680000,67.750000,66.760002,66.820000,51.106510,49800
2011-02-16,67.080002,68.360001,67.080002,68.269997,52.215530,478600
2011-02-17,67.690002,67.970001,67.500000,67.970001,51.986069,481200
2011-02-18,68.070000,68.720001,67.980003,68.720001,52.559708,149700
2011-02-22,67.570000,67.919998,66.790001,66.930000,51.190639,350700
2011-02-23,67.559998,67.769997,66.580002,66.989998,51.236538,118900
2011-02-24,66.239998,66.430000,65.879997,66.389999,50.777634,74100
2011-02-25,66.470001,67.290001,66.400002,67.269997,51.450684,55000
2011-02-28,69.029999,69.500000,68.510002,68.779999,52.605587,92000
2011-03-01,68.029999,68.250000,66.739998,66.830002,51.114155,82900
2011-03-02,67.930000,68.260002,67.550003,67.760002,51.825451,61300
2011-03-03,68.510002,68.680000,68.029999,68.169998,52.139042,61100
2011-03-04,66.110001,66.370003,65.570000,66.339996,50.739380,142800
2011-03-07,67.139999,67.320000,66.180000,66.400002,50.785271,90000
2011-03-08,65.320000,65.680000,65.040001,65.430000,50.043388,124400
2011-03-09,65.480003,65.779999,65.110001,65.709999,50.257538,91700
2011-03-10,63.240002,63.240002,61.970001,62.169998,47.550007,225900
2011-03-11,62.790001,63.180000,62.490002,62.830002,48.054806,69700
2011-03-14,62.770000,62.939999,62.259998,62.639999,47.909481,30800
2011-03-15,59.709999,61.200001,59.560001,60.900002,46.578663,90800
2011-03-16,60.480000,60.570000,58.200001,58.740002,44.926620,130400
2011-03-17,60.959999,61.000000,60.349998,60.349998,46.158001,65400
2011-03-18,61.750000,61.880001,61.270000,61.400002,46.961082,121100
2011-03-21,62.650002,63.020000,62.400002,62.660000,47.924778,66400
2011-03-22,62.220001,62.299999,61.630001,61.869999,47.320553,57100
2011-03-23,60.520000,61.070000,60.270000,61.070000,46.708687,66800
2011-03-24,61.200001,61.509998,60.860001,61.380001,46.945797,78300
2011-03-25,61.470001,61.700001,60.790001,60.910000,46.586315,85000
2011-03-28,61.040001,61.189999,60.840000,60.889999,46.571018,43300
2011-03-29,60.939999,61.750000,60.869999,61.660000,47.159946,40600
2011-03-30,63.040001,63.279999,62.570000,62.869999,48.085392,47400
2011-03-31,61.939999,62.040001,61.700001,61.759998,47.236427,55000
2011-04-01,63.029999,63.500000,62.919998,63.209999,48.345440,83900
2011-04-04,63.759998,63.900002,63.349998,63.419998,48.506050,22900
2011-04-05,63.660000,64.250000,63.610001,63.889999,48.865520,55200
2011-04-06,64.019997,64.379997,63.970001,64.230003,49.125572,34700
2011-04-07,63.360001,63.599998,62.590000,63.099998,48.261303,47800
2011-04-08,63.060001,63.139999,61.930000,62.200001,47.572948,60100
2011-04-11,61.490002,61.689999,61.020000,61.310001,46.892246,68300
2011-04-12,60.099998,60.220001,59.660000,60.000000,45.890308,56000
2011-04-13,60.349998,60.410000,59.540001,59.810001,45.744987,47300
2011-04-14,59.279999,59.549999,59.070000,59.369999,45.408466,83400
2011-04-15,59.740002,59.750000,58.790001,59.099998,45.201950,147800
2011-04-18,58.650002,59.160000,58.259998,59.160000,45.247841,119600
2011-04-19,59.380001,59.759998,59.240002,59.430000,45.454342,46600
2011-04-20,61.150002,62.259998,61.139999,61.830002,47.289974,113100
2011-04-21,62.430000,62.459999,61.549999,61.810001,47.274673,111500
2011-04-25,61.610001,61.869999,61.320000,61.820000,47.282314,29900
2011-04-26,61.230000,61.680000,61.080002,61.189999,46.800472,56500
2011-04-27,62.689999,63.759998,62.549999,63.560001,48.613129,95300
2011-04-28,64.959999,65.230003,64.589996,64.930000,49.684418,72700
2011-04-29,64.959999,65.349998,64.910004,65.290001,49.959888,67800
2011-05-02,65.300003,65.629997,64.739998,64.820000,49.600250,43300
2011-05-03,63.790001,64.089996,63.410000,63.709999,48.750870,47600
2011-05-04,63.660000,63.680000,62.860001,63.150002,48.322365,61100
2011-05-05,62.610001,62.849998,61.869999,62.439999,47.779068,44400
2011-05-06,62.650002,63.070000,62.090000,62.480000,47.809677,54000
2011-05-09,61.919998,62.630001,61.740002,62.610001,47.909153,56800
2011-05-10,63.160000,63.500000,63.009998,63.490002,48.582523,26100
2011-05-11,63.980000,64.080002,62.740002,62.959999,48.176971,45500
2011-05-12,62.709999,63.180000,62.310001,62.939999,48.161674,26100
2011-05-13,62.790001,62.900002,61.630001,62.110001,47.526566,40500
2011-05-16,61.869999,62.400002,61.650002,61.860001,47.335247,80100
2011-05-17,61.520000,61.810001,61.119999,61.770000,47.266392,41000
2011-05-18,60.930000,61.430000,60.900002,61.430000,47.006214,50000
2011-05-19,61.889999,62.130001,61.459999,62.000000,47.442387,61200
2011-05-20,62.009998,62.209999,61.430000,61.770000,47.266392,22500
2011-05-23,60.009998,60.410000,59.869999,60.400002,46.218063,42900
2011-05-24,60.279999,60.560001,60.020000,60.200001,46.065022,37000
2011-05-25,59.590000,60.759998,59.529999,60.549999,46.332836,27900
2011-05-26,60.279999,61.040001,60.209999,60.849998,46.562401,27800
2011-05-27,60.869999,61.689999,60.869999,61.380001,46.967953,24700
2011-05-31,62.599998,62.740002,61.880001,62.369999,47.725506,38000
2011-06-01,61.290001,61.310001,59.529999,59.630001,46.331387,40800
2011-06-02,59.900002,60.529999,59.549999,59.919998,46.556702,47000
2011-06-03,59.990002,60.849998,59.880001,60.470001,46.984043,61500
2011-06-06,60.099998,60.230000,59.580002,59.619999,46.323608,48500
2011-06-07,60.330002,60.520000,59.869999,59.869999,46.517853,22000
2011-06-08,59.180000,59.480000,59.049999,59.160000,45.966187,83400
2011-06-09,60.060001,60.430000,59.880001,60.410000,46.937428,43800
2011-06-10,59.889999,59.919998,58.720001,58.950001,45.803032,37900
2011-06-13,60.020000,60.279999,59.590000,59.910000,46.548920,56200
2011-06-14,60.959999,61.240002,60.830002,61.029999,47.419151,58700
2011-06-15,60.009998,60.410000,59.299999,59.389999,46.144905,16600
2011-06-16,59.430000,59.740002,58.939999,59.380001,46.137131,126700
2011-06-17,59.810001,60.070000,59.500000,59.730000,46.409077,27100
2011-06-20,59.630001,60.160000,59.630001,59.900002,46.541157,22200
2011-06-21,60.000000,60.560001,59.939999,60.490002,46.999580,22600
2011-06-22,60.439999,60.950001,60.330002,60.369999,46.906345,39700
2011-06-23,59.020000,59.439999,58.490002,59.439999,46.183746,53100
2011-06-24,59.919998,60.040001,59.139999,59.330002,46.098289,35400
2011-06-27,59.070000,59.900002,58.900002,59.610001,46.315834,45100
2011-06-28,59.689999,60.230000,59.529999,60.230000,46.797562,27800
2011-06-29,61.279999,62.110001,60.950001,61.880001,48.079586,37000
2011-06-30,62.200001,62.770000,62.200001,62.750000,48.755573,23500
2011-07-01,61.869999,62.650002,61.709999,62.540001,48.592400,55500
2011-07-05,63.259998,63.540001,62.660000,62.869999,48.848797,106800
2011-07-06,60.990002,61.270000,60.650002,61.220001,47.566788,83000
2011-07-07,61.200001,61.880001,61.119999,61.680000,47.924187,78200
2011-07-08,60.919998,61.139999,60.450001,60.799999,47.240444,30400
2011-07-11,58.660000,58.970001,58.299999,58.660000,45.577709,95900
2011-07-12,57.770000,58.380001,57.770000,57.840000,44.940590,85900
2011-07-13,58.419998,59.570000,58.320000,58.869999,45.740871,42800
2011-07-14,58.619999,58.689999,57.459999,57.680000,44.816273,46000
2011-07-15,57.430000,57.549999,56.830002,57.070000,44.342308,104100
2011-07-18,56.240002,56.400002,55.110001,55.650002,43.238998,41400
2011-07-19,57.040001,57.680000,56.959999,57.500000,44.676411,114100
2011-07-20,58.099998,58.389999,57.740002,58.150002,45.181446,35800
2011-07-21,58.790001,59.360001,58.540001,59.139999,45.950657,52400
2011-07-22,59.840000,59.970001,59.299999,59.430000,46.175983,38700
2011-07-25,59.180000,59.419998,59.070000,59.180000,45.981735,30100
2011-07-26,58.980000,59.360001,58.689999,59.099998,45.919575,30600
2011-07-27,58.680000,58.709999,57.560001,57.689999,44.824028,27500
2011-07-28,57.520000,57.860001,56.959999,57.090000,44.380936,44800
2011-07-29,56.669998,57.330002,56.360001,56.590000,43.992241,55400
2011-08-01,57.540001,57.650002,55.650002,56.020000,43.549126,80400
